date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2017-08-03,2676.35,2689.94,2646.22,2644.99,318151.69,-34.41,-1.28,2656.634,2649.266,2626.258,316880.56,321515.2,351732.36
2017-08-02,2679.34,2696.64,2680.63,2675.2,422223.78,-1.18,-0.04,2654.716,2651.189,2621.641,314590.47,327280.77,346942.08
2017-08-01,2640.87,2681.93,2681.81,2638.02,338205.06,43.69,1.66,2645.83,2648.915,2615.014,301040.23,333747.29,336134.72
2017-07-31,2633.88,2649.29,2638.12,2626.18,286477.62,1.73,0.07,2638.082,2643.165,2606.481,301770.04,339361.82,330998.03
2017-07-28,2627.16,2642.69,2636.39,2619.04,219344.66,-0.24,-0.01,2641.334,2642.494,2601.294,310587.65,371580.01,325826.26
2017-07-27,2632.0,2638.94,2636.63,2610.58,306701.25,0.43,0.02,2641.898,2641.153,2596.973,326149.84,383298.83,324197.61
2017-07-26,2642.26,2665.15,2636.2,2617.55,354472.56,-6.87,-0.26,2647.662,2637.585,2592.79,339971.06,395500.28,318739.74
2017-07-25,2656.48,2667.79,2643.07,2639.61,341854.12,-11.31,-0.43,2652.0,2630.479,2587.862,366454.34,397123.62,315113.6
2017-07-24,2636.55,2666.65,2654.38,2632.76,330565.66,15.17,0.57,2648.248,2623.231,2583.444,376953.6,396906.43,311513.25
2017-07-21,2655.23,2661.48,2639.21,2635.0,297155.62,-26.24,-0.98,2643.654,2612.804,2577.891,432572.37,389155.01,314843.34
2017-07-20,2653.38,2666.04,2665.45,2643.64,375807.34,7.56,0.28,2640.408,2603.249,2572.385,440447.81,381949.51,314687.53
2017-07-19,2621.11,2661.66,2657.89,2618.37,486888.97,33.58,1.28,2627.508,2592.092,2564.946,451029.49,366603.4,317769.14
2017-07-18,2619.23,2637.53,2624.31,2596.12,394350.41,-7.1,-0.27,2608.958,2581.113,2556.914,427792.89,338522.16,303601.8
2017-07-17,2627.37,2663.28,2631.41,2594.42,608659.5,8.43,0.32,2598.214,2569.797,2549.42,416859.26,322634.24,292769.85
2017-07-14,2600.76,2623.32,2622.98,2593.43,336532.84,22.03,0.85,2581.954,2560.093,2542.056,345737.65,280072.51,272633.88
